barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
8901023011719,Good Knight Advanced Xpress Cartridge Refill,35,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8901023011719.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901023011719.jpg,72.00
8901023011726,Good Knight Xpress System,1,set,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/256/8901023011726.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901023011726.jpg,99.00
8901023012075,Good Knight Maha Jumbo,10,pcs,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Good Knight Maha Jumbo Lavender & Jasmine 10 Pcs.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Good Knight Maha Jumbo Lavender & Jasmine 10 Pcs.jpg,33.00
8901023012877,Aer Spray Morning Misty Meadows,300,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/aer_spray_morning_misty_meadows_300_ml_128.jpg,https://media.goodbox.in/sku_images/aer_spray_morning_misty_meadows_300_ml_256.jpg,150.00
8901023012884,Aer Spray Violet Valley Bloom,300,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/aer_spray_violet_valley_bloom_300_ml_128.jpg,https://media.goodbox.in/sku_images/aer_spray_violet_valley_bloom_300_ml_256.jpg,149.00
8901023013621,Aer Click Gel Bright Tangy Delight,10,gm,Car Freshener / Car Care,Household Needs,https://media.goodbox.in/sku_images/aer_click_gel_bright_tangy_delight_10_gm_128.jpg,https://media.goodbox.in/sku_images/aer_click_gel_bright_tangy_delight_10_gm_256.jpg,299.00
8901023013638,Aer Twist Gel Bright Tangy Delight,45,gm,Car Freshener / Car Care,Household Needs,https://media.goodbox.in/sku_images/aer_twist_gel_bright_tangy_delight_45_gm_128.jpg,https://media.goodbox.in/sku_images/aer_twist_gel_bright_tangy_delight_45_gm_256.jpg,379.00
8901023013690,Aer Click Gel Bright Tangy Delight Refill,10,gm,Car Freshener / Car Care,Household Needs,https://media.goodbox.in/sku_images/aer_click_gel_bright_tangy_delight_10_gm_refill_128.jpg,https://media.goodbox.in/sku_images/aer_click_gel_bright_tangy_delight_10_gm_refill_256.jpg,175.00
8901023014284,Lime Fresh Hit Kills Dengue & Malaria,200,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023014284.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023014284.jpg,101.00
8901023014291,Lime Fresh Hit Kills Dengue & Malaria,400,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/256/8901023014291.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901023014291.jpg,189.00
8901023014321,Hit Kills Dengue & Malaria Lime Fresh,625,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/20-12-17/256x256/8901023014321.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/20-12-17/256x256/8901023014321.jpg,279.00
8901023014338,Godrej Master Blaster Handwash,225,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023014338.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023014338.jpg,49.00
